name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
PAPUA TENGAH,1,1,2014,76.3,90.4,88.7,1010.5,15.0,0.38
PAPUA TENGAH,2,1,2014,78.3,86.3,68.3,1009.7,15.0,0.296
PAPUA TENGAH,3,1,2014,78.8,85.5,71.9,1008.8,9.2,2.572
PAPUA TENGAH,4,1,2014,78.4,86.7,79.4,1008.1,13.9,0.315
PAPUA TENGAH,5,1,2014,80.0,83.6,66.0,1007.0,10.3,0.071
PAPUA TENGAH,6,1,2014,76.0,88.8,85.9,1007.9,17.9,1.88
PAPUA TENGAH,7,1,2014,75.1,87.1,88.4,1008.8,9.5,0.088
PAPUA TENGAH,8,1,2014,76.1,87.3,81.6,1009.8,9.0,0.658
PAPUA TENGAH,9,1,2014,76.5,87.0,75.1,1009.5,8.3,0.022
PAPUA TENGAH,10,1,2014,76.4,86.4,82.9,1009.0,6.9,0.112
PAPUA TENGAH,11,1,2014,77.2,84.3,80.9,1009.7,9.9,0.089
PAPUA TENGAH,12,1,2014,75.7,89.7,86.9,1010.6,7.0,4.605
PAPUA TENGAH,13,1,2014,75.0,88.2,91.9,1010.5,20.8,0.247
PAPUA TENGAH,14,1,2014,74.9,88.7,80.6,1010.3,13.0,1.397
PAPUA TENGAH,15,1,2014,74.5,88.5,83.8,1010.7,15.4,0.433
PAPUA TENGAH,16,1,2014,74.6,88.0,77.8,1010.8,16.7,0.115
PAPUA TENGAH,17,1,2014,73.9,91.7,92.2,1011.1,14.7,0.714
PAPUA TENGAH,18,1,2014,73.6,94.8,96.3,1011.6,11.0,2.906
PAPUA TENGAH,19,1,2014,74.0,92.3,91.0,1011.7,15.0,0.665
PAPUA TENGAH,20,1,2014,75.8,90.6,89.0,1009.8,21.9,0.356
PAPUA TENGAH,21,1,2014,74.5,91.3,91.6,1009.7,21.4,1.248
PAPUA TENGAH,22,1,2014,78.2,82.2,72.9,1009.8,21.9,0.215
PAPUA TENGAH,23,1,2014,74.7,93.1,87.2,1010.3,15.6,2.835
PAPUA TENGAH,24,1,2014,76.6,88.6,81.1,1009.2,18.3,1.389
PAPUA TENGAH,25,1,2014,75.9,89.3,84.2,1009.8,19.7,0.572
PAPUA TENGAH,26,1,2014,78.8,83.7,72.3,1009.7,13.9,0.481
PAPUA TENGAH,27,1,2014,79.3,85.8,79.7,1009.4,18.3,0.269
PAPUA TENGAH,28,1,2014,75.8,91.2,92.1,1009.6,9.3,2.023
PAPUA TENGAH,29,1,2014,77.2,88.4,87.3,1009.6,16.6,0.283
PAPUA TENGAH,30,1,2014,77.1,87.4,81.4,1009.7,18.3,0.557
PAPUA TENGAH,31,1,2014,74.9,90.2,90.5,1010.3,18.3,0.255
PAPUA TENGAH,1,2,2014,75.6,89.4,81.4,1008.5,15.1,0.417
PAPUA TENGAH,2,2,2014,74.5,91.6,80.0,1007.7,14.7,1.239
PAPUA TENGAH,3,2,2014,76.4,90.4,81.7,1006.6,15.0,1.032
PAPUA TENGAH,4,2,2014,77.4,90.1,83.3,1006.4,11.4,1.382
PAPUA TENGAH,5,2,2014,79.7,85.5,72.5,1005.9,16.1,0.176
PAPUA TENGAH,6,2,2014,78.4,87.5,79.3,1006.5,8.7,0.355
PAPUA TENGAH,7,2,2014,79.5,85.9,70.4,1006.2,15.0,0.146
PAPUA TENGAH,8,2,2014,78.3,89.1,83.7,1005.7,16.1,0.285
PAPUA TENGAH,9,2,2014,77.7,90.0,76.8,1006.2,12.7,0.666
PAPUA TENGAH,10,2,2014,78.2,84.7,80.3,1006.6,13.9,0.006
PAPUA TENGAH,11,2,2014,80.6,84.4,74.2,1006.8,17.2,0.0
PAPUA TENGAH,12,2,2014,80.5,83.7,68.2,1007.2,16.1,0.005
PAPUA TENGAH,13,2,2014,79.2,81.3,73.0,1009.2,16.1,0.016
PAPUA TENGAH,14,2,2014,78.6,85.7,81.5,1009.4,13.9,0.032
PAPUA TENGAH,15,2,2014,76.4,87.9,78.6,1009.4,12.8,0.966
PAPUA TENGAH,16,2,2014,78.0,83.4,79.3,1010.6,13.9,0.016
PAPUA TENGAH,17,2,2014,79.1,83.5,74.4,1011.1,9.6,0.255
PAPUA TENGAH,18,2,2014,79.1,86.0,80.7,1010.5,15.0,0.44
PAPUA TENGAH,19,2,2014,77.7,85.8,83.6,1010.0,12.9,0.368
PAPUA TENGAH,20,2,2014,78.8,83.8,71.3,1010.1,12.8,0.029
PAPUA TENGAH,21,2,2014,79.5,82.6,71.0,1010.7,16.1,0.028
PAPUA TENGAH,22,2,2014,77.7,85.1,79.4,1010.9,20.8,0.843
PAPUA TENGAH,23,2,2014,77.0,85.9,78.8,1011.6,18.3,0.347
PAPUA TENGAH,24,2,2014,78.3,77.7,71.0,1011.5,18.3,0.034
PAPUA TENGAH,25,2,2014,78.7,77.0,65.0,1011.0,17.2,0.016
PAPUA TENGAH,26,2,2014,79.3,77.4,53.8,1010.7,16.1,0.004
PAPUA TENGAH,27,2,2014,79.4,78.8,49.3,1010.6,13.9,0.0
PAPUA TENGAH,28,2,2014,80.5,80.9,66.2,1010.8,13.9,0.017
PAPUA TENGAH,1,3,2014,79.6,82.5,70.5,1009.7,10.3,0.032
PAPUA TENGAH,2,3,2014,80.7,82.3,68.9,1009.3,13.9,0.382
PAPUA TENGAH,3,3,2014,79.8,83.4,68.3,1010.0,15.0,0.001
PAPUA TENGAH,4,3,2014,80.7,80.5,56.8,1010.9,12.8,0.0
PAPUA TENGAH,5,3,2014,78.4,85.7,63.2,1011.1,16.1,0.189
